label,text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461."
ham,"Had your mobile 11 months or more? U R entitled to update to the latest colour mobiles with camera for free! Call The Mobile Update Co FREE on 08002986030"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: WIN to 80086 NOW."
ham,"I've been searching for the right words to thank you for this breather. I promise i won't take your help for granted and will fulfil my promise."
ham,"I HAVE A DATE ON SUNDAY WITH MY RTELONS"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Oh k...i'm watching here:)"
ham,"Eat jap food with me tonight? At a buffet."
spam,"Congratulations ur awarded 500 of CD vouchers or £125 gift guaranteed & free entry 2 100 wkly draw txt MUSIC to 87066."
ham,"I love you. I will call you later."
spam,"You have been selected to win a guaranteed £200 award. Call 09061701461 claim now."
ham,"Are you free tonight? Can we go cinema?"
ham,"Yes, I finished my work already."
spam,"FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now!"
ham,"That's great news! How are you doing today?"
ham,"Can you pick me up later? My car broke down."
spam,"Get the new Ringtone of the week! Just text TONE to 87121. Only £1.50 per tone."
ham,"I'm on my way. See you in 10 minutes."
ham,"Thanks for your support. I really appreciate it."
spam,"You are a lucky winner of our weekly draw! Call 09061701461 to claim your prize."
ham,"Don't forget to bring your notebook tomorrow."
ham,"Let's meet at Starbucks at 6 pm."
spam,"Claim your £250 cash prize now! Text WINCASH to 80086."
ham,"I'm busy right now, will call you later."
spam,"You are entitled to a FREE holiday trip to Bahamas. Reply CALL now!"
ham,"Good luck with your exam tomorrow."
ham,"I am at the office right now, talk to you later."
spam,"This is your last chance to claim £1000 prize. Call 09061701461 immediately!"
ham,"Hey, are we still meeting for dinner tonight?"
spam,"Congrats! You’ve won a gift card worth £500. Reply YES to claim."
ham,"Don't worry, everything will be fine."
ham,"Shall we go jogging tomorrow morning?"
spam,"Exclusive offer just for you! Get unlimited texts for 1 month. Reply OFFER to 80086."
